"month","day","mean.ETPI_ft","SE.ETPI_ft","sd.ETPI_ft","N.val","UCI","LCI","DOY"
2,22,0.0116111111111111,0.000566168470698787,0.00219276105816413,15,0.0105014412993594,0.0127207809228629,53
2,23,0.0106111111111111,0.000815145435568861,0.00315704469669519,15,0.00901345541523393,0.0122087668069883,54
2,24,0.0111666666666667,0.000532042087685536,0.00206059014508751,15,0.0101238833365435,0.0122094499967898,55
2,25,0.0128333333333333,0.00047280542884465,0.00183116755191179,15,0.0119066517211028,0.0137600149455639,56
2,26,0.0118229166666667,0.000528245863334139,0.00211298345333656,16,0.0107875737995495,0.0128582595337838,57
2,27,0.0110119047619048,0.000767443523774778,0.00287151072966372,14,0.00950774309513769,0.0125160664286718,58
2,28,0.0116666666666667,0.000829853847016092,0.00331941538806437,16,0.0100401830140831,0.0132931503192502,59
2,29,0.00854166666666667,0.00181222060426387,0.00362444120852775,4,0.00498977955026806,0.0120935537830653,60
3,1,0.00958333333333333,0.000779511955577904,0.00311804782231162,16,0.00805551797488226,0.0111111486917844,61
3,2,0.01046875,0.000863913729992972,0.00345565491997189,16,0.00877551020346411,0.0121619897965359,62
3,3,0.00994791666666667,0.000735463879504327,0.00294185551801731,16,0.00850643395090808,0.0113893993824253,63
3,4,0.0107291666666667,0.000713117016785906,0.00285246806714362,16,0.00933148299700365,0.0121268503363297,64
3,5,0.01171875,0.00093933077413696,0.00375732309654784,16,0.00987769551312143,0.0135598044868786,65
3,6,0.0071875,0.0012680981494611,0.0050723925978444,16,0.00470207329819435,0.00967292670180565,66
3,7,0.0103125,0.00104547913435437,0.00418191653741749,16,0.00826339855007732,0.0123616014499227,67
3,8,0.0106770833333333,0.000600051839967305,0.00240020735986922,16,0.00950100333814042,0.0118531633285262,68
3,9,0.0110555555555556,0.000877657214947187,0.00339915177716924,15,0.00933537902348734,0.0127757320876238,69
3,10,0.0102604166666667,0.000952332510548783,0.00380933004219513,16,0.00839387924468444,0.0121269540886489,70
3,11,0.01203125,0.00087058658785008,0.00348234635140032,16,0.0103249316423902,0.0137375683576098,71
3,12,0.0114583333333333,0.0010554641773313,0.00422185670932518,16,0.0093896615587918,0.0135270051078749,72
3,13,0.0135416666666667,0.000652186493437439,0.00260874597374975,16,0.0122634046283258,0.0148199287050075,73
3,14,0.0127083333333333,0.000518745816582864,0.00207498326633146,16,0.0116916102157001,0.0137250564509666,74
3,15,0.0104166666666667,0.000950146187582615,0.00380058475033046,16,0.0085544143589567,0.0122789189743766,75
3,16,0.01203125,0.000928486765447473,0.00371394706178989,16,0.0102114493796009,0.0138510506203991,76
3,17,0.0123958333333333,0.000675612719164091,0.00270245087665636,16,0.0110716567362745,0.0137200099303921,77
3,18,0.0116666666666667,0.000663185354795185,0.00265274141918074,16,0.0103668472561937,0.0129664860771396,78
3,19,0.010625,0.00120160964574222,0.00480643858296888,16,0.00826988837086932,0.0129801116291307,79
3,20,0.01296875,0.000768177670119596,0.00307271068047838,16,0.0114631494328377,0.0144743505671623,80
3,21,0.013125,0.000821090625214303,0.00328436250085721,16,0.0115156919465365,0.0147343080534635,81
3,22,0.0102604166666667,0.00146667998336758,0.0058667199334703,16,0.00738577672242042,0.0131350566109129,82
3,23,0.0121354166666667,0.00105674845788425,0.004226993831537,16,0.0100642277484953,0.014206605584838,83
3,24,0.0125520833333333,0.000813901035650732,0.00325560414260293,16,0.0109568666164781,0.0141473000501886,84
3,25,0.01359375,0.000479430784696618,0.00191772313878647,16,0.0126540829289149,0.0145334170710851,85
3,26,0.0136979166666667,0.000965159115408209,0.00386063646163283,16,0.011806239561116,0.0155895937722173,86
3,27,0.0135416666666667,0.00076262521740513,0.00305050086962052,16,0.0120469487068506,0.0150363846264828,87
3,28,0.0129166666666667,0.00103749163316573,0.00414996653266291,16,0.0108832204314002,0.0149501129019331,88
3,29,0.01359375,0.00103670694254559,0.00414682777018235,16,0.011561841730088,0.015625658269912,89
3,30,0.0133854166666667,0.00101911348889157,0.00407645395556627,16,0.0113879909322802,0.0153828424010531,90
